year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2007,ATL,0.293,0.333,0.515,26.2,17.9,0.512,13.5,-9.0
2007,BOS,0.293,0.357,0.53,27.4,18.6,0.499,14.1,-4.0
2007,NJN,0.415,0.354,0.542,24.9,22.4,0.498,12.9,-3.3
2007,CHA,0.317,0.34,0.522,25.5,22.1,0.513,14.0,-7.3
2007,CHI,0.439,0.41,0.53,25.3,21.1,0.489,15.5,-0.4
2007,CLE,0.488,0.325,0.517,26.7,19.5,0.492,13.9,-0.1
2007,DAL,0.756,0.357,0.547,24.4,19.0,0.475,12.9,4.1
2007,DEN,0.537,0.348,0.551,28.5,22.0,0.51,14.0,-0.6
2007,DET,0.659,0.333,0.531,24.0,20.5,0.477,14.2,4.4
2007,GSW,0.293,0.341,0.531,24.1,21.0,0.522,14.8,-7.2
2007,HOU,0.585,0.368,0.536,23.6,20.2,0.458,12.8,3.0
2007,IND,0.317,0.343,0.513,25.4,19.7,0.506,13.6,-7.0
2007,LAC,0.366,0.384,0.529,25.0,19.9,0.496,12.2,-4.5
2007,LAL,0.415,0.327,0.546,26.3,19.8,0.502,13.0,-3.0
2007,MEM,0.195,0.364,0.542,28.2,20.3,0.53,13.1,-8.1
2007,MIA,0.415,0.345,0.53,24.5,21.8,0.49,12.0,-4.6
2007,MIL,0.244,0.335,0.525,23.2,19.8,0.521,13.9,-7.8
2007,MIN,0.293,0.353,0.536,22.1,21.6,0.502,13.1,-5.1
2007,NOK,0.366,0.348,0.523,24.2,18.3,0.508,13.1,-3.1
2007,NYK,0.341,0.362,0.535,27.3,18.3,0.511,12.8,-5.4
2007,SEA,0.268,0.365,0.545,21.7,20.3,0.526,12.7,-5.8
2007,ORL,0.366,0.364,0.537,27.2,18.9,0.488,13.0,-2.8
2007,PHI,0.341,0.33,0.528,25.4,19.6,0.511,14.4,-4.9
2007,PHO,0.683,0.412,0.59,22.4,27.0,0.51,13.6,4.5
2007,POR,0.341,0.338,0.524,24.8,17.4,0.514,12.8,-7.5
2007,SAC,0.317,0.345,0.532,29.5,20.5,0.529,15.4,-5.2
2007,SAS,0.659,0.395,0.566,23.0,22.0,0.464,13.0,8.0
2007,TOR,0.415,0.326,0.534,24.1,20.9,0.508,14.0,-3.2
2007,UTA,0.488,0.321,0.534,29.4,23.6,0.493,13.9,-1.0
2007,WAS,0.366,0.348,0.536,30.0,19.1,0.516,13.2,-2.5
2008,ATL,0.293,0.377,0.52,26.2,19.4,0.512,12.5,-5.7
2008,BOS,0.756,0.398,0.567,26.6,20.2,0.464,14.2,8.0
2008,NJN,0.317,0.347,0.525,26.2,22.7,0.505,12.0,-8.1
2008,CHA,0.268,0.361,0.524,24.1,21.3,0.517,12.9,-8.8
2008,CHI,0.317,0.373,0.513,25.2,21.8,0.497,13.6,-5.6
2008,CLE,0.439,0.374,0.516,24.4,18.3,0.502,12.4,-3.6
2008,DAL,0.415,0.326,0.538,24.8,19.7,0.484,11.2,0.1
2008,DEN,0.415,0.358,0.556,28.0,22.1,0.521,13.0,-3.0
2008,DET,0.61,0.366,0.53,23.5,20.4,0.48,12.2,3.2
2008,GSW,0.512,0.35,0.542,23.8,20.6,0.51,14.2,0.2
2008,HOU,0.585,0.337,0.526,23.2,20.2,0.471,12.5,1.5
2008,IND,0.366,0.363,0.539,23.9,22.7,0.505,13.9,-4.1
2008,LAC,0.244,0.363,0.523,26.5,19.6,0.516,12.1,-9.1
2008,LAL,0.659,0.369,0.569,26.1,23.1,0.487,11.8,5.6
2008,MEM,0.195,0.324,0.52,25.5,19.2,0.513,12.2,-8.0
2008,MIA,0.146,0.377,0.515,23.6,20.5,0.513,12.6,-10.2
2008,MIL,0.171,0.319,0.507,21.7,19.4,0.527,12.0,-11.4
2008,MIN,0.171,0.353,0.512,19.8,19.3,0.516,12.6,-9.4
2008,NOH,0.634,0.4,0.541,19.6,20.0,0.507,12.7,2.6
2008,NYK,0.195,0.345,0.514,24.6,19.7,0.519,11.6,-9.4
2008,SEA,0.171,0.325,0.502,22.4,21.3,0.51,11.4,-12.3
2008,ORL,0.659,0.375,0.571,28.3,20.9,0.477,12.2,4.6
2008,PHI,0.439,0.342,0.519,25.6,19.4,0.521,13.4,-3.3
2008,PHO,0.61,0.395,0.589,22.1,28.0,0.494,12.1,2.8
2008,POR,0.317,0.36,0.518,21.8,18.9,0.496,10.8,-5.8
2008,SAC,0.293,0.38,0.553,25.6,20.4,0.521,13.0,-6.9
2008,SAS,0.537,0.355,0.531,21.2,19.5,0.485,11.6,0.1
2008,TOR,0.39,0.386,0.541,20.2,23.4,0.514,13.1,-1.6
2008,UTA,0.415,0.32,0.553,28.4,25.3,0.511,13.9,-0.5
2008,WAS,0.439,0.35,0.524,24.6,18.6,0.514,12.0,-4.1
2009,ATL,0.39,0.37,0.538,26.8,18.0,0.504,12.5,-2.5
2009,BOS,0.659,0.38,0.559,25.4,20.7,0.46,13.3,4.9
2009,NJN,0.366,0.383,0.545,23.5,19.2,0.508,12.2,-3.9
2009,CHA,0.293,0.38,0.533,22.3,21.3,0.52,14.0,-4.7
2009,CHI,0.317,0.378,0.534,22.9,20.6,0.496,12.1,-4.7
2009,CLE,0.659,0.388,0.549,24.7,18.7,0.483,12.7,3.4
2009,DAL,0.439,0.328,0.528,20.5,19.3,0.498,11.4,-2.5
2009,DEN,0.512,0.366,0.555,27.4,19.4,0.49,13.1,-0.3
2009,DET,0.439,0.364,0.52,22.1,19.8,0.481,10.9,-1.1
2009,GSW,0.195,0.365,0.528,27.0,19.3,0.514,12.3,-8.9
2009,HOU,0.488,0.379,0.545,23.0,19.4,0.493,11.4,-0.8
2009,IND,0.268,0.371,0.543,21.5,22.3,0.516,12.4,-4.8
2009,LAC,0.195,0.364,0.521,22.4,20.4,0.525,12.1,-10.0
2009,LAL,0.707,0.354,0.554,25.2,21.4,0.509,14.1,5.2
2009,MEM,0.195,0.353,0.528,25.1,17.3,0.517,13.6,-7.7
2009,MIA,0.366,0.332,0.526,21.8,21.5,0.508,13.6,-3.7
2009,MIL,0.293,0.357,0.52,23.9,19.8,0.513,14.8,-5.0
2009,MIN,0.317,0.37,0.531,22.9,20.4,0.504,11.0,-4.1
2009,NOH,0.512,0.371,0.539,21.2,18.3,0.505,12.6,-1.6
2009,NYK,0.293,0.354,0.538,21.2,22.0,0.526,12.8,-4.2
2009,OKC,0.195,0.339,0.519,26.0,20.6,0.526,12.6,-8.5
2009,ORL,0.659,0.387,0.561,26.6,19.5,0.478,11.3,3.6
2009,PHI,0.415,0.306,0.53,27.2,19.0,0.523,13.9,-3.9
2009,PHO,0.439,0.366,0.57,26.7,23.7,0.518,12.5,-2.5
2009,POR,0.488,0.392,0.541,22.6,18.5,0.503,12.2,0.3
2009,SAC,0.146,0.376,0.543,24.2,20.1,0.533,12.6,-11.6
2009,SAS,0.634,0.369,0.535,20.3,20.6,0.477,11.0,2.6
2009,TOR,0.366,0.355,0.528,22.6,21.7,0.511,11.9,-6.1
2009,UTA,0.366,0.326,0.542,28.7,23.8,0.512,13.9,-4.2
2009,WAS,0.146,0.324,0.52,23.1,18.6,0.535,12.4,-10.2
2010,ATL,0.463,0.356,0.54,22.6,18.8,0.502,11.8,0.8
2010,BOS,0.634,0.36,0.561,26.4,21.8,0.473,13.6,3.9
2010,NJN,0.098,0.34,0.515,23.2,18.1,0.53,13.2,-11.0
2010,CHA,0.317,0.327,0.528,26.1,19.1,0.507,13.9,-3.7
2010,CHI,0.415,0.321,0.521,24.3,19.5,0.494,12.0,-3.9
2010,CLE,0.634,0.379,0.561,27.2,20.3,0.484,11.9,4.2
2010,DAL,0.659,0.381,0.556,22.0,23.8,0.492,12.6,3.2
