day,away,home,away_score,home_score
10/17/17,BOS,CLE,99,102
10/17/17,HOU,GSW,122,121
10/18/17,MIL,BOS,108,100
10/18/17,ATL,DAL,117,111
10/18/17,CHO,DET,90,102
10/18/17,BRK,IND,131,140
10/18/17,NOP,MEM,91,103
10/18/17,MIA,ORL,109,116
10/18/17,POR,PHO,124,76
10/18/17,HOU,SAC,105,100
10/18/17,MIN,SAS,99,107
10/18/17,DEN,UTA,96,106
10/18/17,PHI,WAS,115,120
10/19/17,LAC,LAL,108,92
10/19/17,NYK,OKC,84,105
10/19/17,CHI,TOR,100,117
10/20/17,ORL,BRK,121,126
10/20/17,ATL,CHO,91,109
10/20/17,SAC,DAL,93,88
10/20/17,POR,IND,114,96
10/20/17,CLE,MIL,116,97
10/20/17,UTA,MIN,97,100
10/20/17,GSW,NOP,128,120
10/20/17,BOS,PHI,102,92
10/20/17,LAL,PHO,132,130
10/20/17,DET,WAS,111,115
10/21/17,SAS,CHI,87,77
10/21/17,ORL,CLE,114,93
10/21/17,SAC,DEN,79,96
10/21/17,DAL,HOU,91,107
10/21/17,PHO,LAC,88,130
10/21/17,GSW,MEM,101,111
10/21/17,IND,MIA,108,112
10/21/17,POR,MIL,110,113
10/21/17,DET,NYK,111,107
10/21/17,PHI,TOR,94,128
10/21/17,OKC,UTA,87,96
10/22/17,ATL,BRK,104,116
10/22/17,NOP,LAL,119,112
10/22/17,MIN,OKC,115,113
10/23/17,GSW,DAL,133,103
10/23/17,WAS,DEN,109,104
10/23/17,PHI,DET,97,86
10/23/17,MEM,HOU,98,90
10/23/17,ATL,MIA,93,104
10/23/17,CHO,MIL,94,103
10/23/17,SAC,PHO,115,117
10/23/17,TOR,SAS,97,101
10/24/17,NYK,BOS,89,110
10/24/17,CHI,CLE,112,119
10/24/17,UTA,LAC,84,102
10/24/17,IND,MIN,130,107
10/24/17,BRK,ORL,121,125
10/24/17,NOP,POR,93,103
10/25/17,CLE,BRK,107,112
10/25/17,DEN,CHO,93,110
10/25/17,MEM,DAL,94,103
10/25/17,MIN,DET,101,122
10/25/17,TOR,GSW,112,117
10/25/17,WAS,LAL,99,102
10/25/17,SAS,MIA,117,100
10/25/17,IND,OKC,96,114
10/25/17,HOU,PHI,105,104
10/25/17,UTA,PHO,88,97
10/26/17,ATL,CHI,86,91
10/26/17,DAL,MEM,91,96
10/26/17,BOS,MIL,96,89
10/26/17,LAC,POR,104,103
10/26/17,NOP,SAC,114,106
10/27/17,DEN,ATL,105,100
10/27/17,HOU,CHO,109,93
10/27/17,WAS,GSW,117,120
10/27/17,TOR,LAL,101,92
10/27/17,OKC,MIN,116,119
10/27/17,BRK,NYK,86,107
10/27/17,SAS,ORL,87,114
10/28/17,OKC,CHI,101,69
10/28/17,PHI,DAL,112,110
10/28/17,DET,LAC,95,87
10/28/17,HOU,MEM,89,103
10/28/17,BOS,MIA,96,90
10/28/17,CLE,NOP,101,123
10/28/17,PHO,POR,107,114
10/28/17,LAL,UTA,81,96
10/29/17,MIL,ATL,117,106
10/29/17,DEN,BRK,124,111
10/29/17,ORL,CHO,113,120
10/29/17,NYK,CLE,114,95
10/29/17,DET,GSW,115,107
10/29/17,SAS,IND,94,97
10/29/17,WAS,SAC,110,83
10/30/17,SAS,BOS,94,108
10/30/17,PHI,HOU,115,107
10/30/17,GSW,LAC,141,113
10/30/17,CHO,MEM,104,99
10/30/17,MIN,MIA,125,122
