year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2007,ATL,0.439,0.323,0.532,27.5,20.4,0.494,14.5,-0.4
2007,BOS,0.293,0.377,0.53,25.8,21.2,0.504,13.7,-2.7
2007,NJN,0.585,0.37,0.551,27.6,25.4,0.481,13.4,1.8
2007,CHA,0.488,0.377,0.525,26.6,22.7,0.485,14.6,-0.3
2007,CHI,0.756,0.363,0.539,25.5,23.6,0.457,15.6,10.5
2007,CLE,0.732,0.376,0.527,25.3,22.2,0.467,14.4,7.7
2007,DAL,0.878,0.402,0.57,25.5,20.8,0.48,14.2,10.4
2007,DEN,0.561,0.324,0.545,31.3,24.8,0.488,13.8,3.8
2007,DET,0.634,0.358,0.539,24.5,22.6,0.477,13.1,3.9
2007,GSW,0.732,0.372,0.564,27.5,26.6,0.489,16.4,6.5
2007,HOU,0.683,0.377,0.544,22.9,21.4,0.474,13.5,6.6
2007,IND,0.537,0.349,0.533,26.4,21.3,0.476,14.7,2.2
2007,LAC,0.61,0.312,0.544,29.8,23.1,0.481,13.3,3.6
2007,LAL,0.61,0.376,0.563,27.9,25.4,0.498,13.2,2.9
2007,MEM,0.341,0.371,0.567,30.6,20.7,0.529,14.2,-2.2
2007,MIA,0.659,0.341,0.552,24.8,19.2,0.479,14.2,2.9
2007,MIL,0.439,0.378,0.557,23.6,23.4,0.522,14.2,-1.0
2007,MIN,0.488,0.346,0.539,24.0,23.4,0.495,12.6,-2.1
2007,NOK,0.585,0.377,0.517,23.1,19.2,0.49,12.4,0.0
2007,NYK,0.463,0.333,0.544,31.1,19.1,0.497,12.6,-0.3
2007,SEA,0.488,0.358,0.544,24.9,21.0,0.505,14.3,0.0
2007,ORL,0.61,0.342,0.551,31.1,18.3,0.471,14.7,4.4
2007,PHI,0.512,0.356,0.531,26.7,21.1,0.491,14.0,-1.1
2007,PHO,0.805,0.39,0.59,22.1,24.8,0.474,12.6,10.1
2007,POR,0.439,0.353,0.538,24.1,19.5,0.503,13.3,-1.0
2007,SAC,0.488,0.354,0.558,30.8,20.1,0.499,13.7,1.6
2007,SAS,0.756,0.37,0.557,25.3,22.3,0.478,14.0,8.9
2007,TOR,0.732,0.397,0.566,24.2,23.6,0.498,13.6,5.1
2007,UTA,0.756,0.35,0.567,30.7,25.8,0.499,14.5,6.7
2007,WAS,0.634,0.347,0.548,29.1,21.4,0.518,14.8,1.4
2008,ATL,0.61,0.338,0.549,28.1,24.6,0.49,12.4,2.2
2008,BOS,0.854,0.361,0.572,26.4,24.5,0.449,15.2,12.5
2008,NJN,0.512,0.347,0.531,28.4,24.2,0.489,12.4,-2.1
2008,CHA,0.512,0.374,0.539,27.5,21.3,0.493,13.0,0.1
2008,CHI,0.488,0.357,0.516,24.2,22.4,0.494,13.8,-0.6
2008,CLE,0.659,0.337,0.523,25.9,21.7,0.486,12.5,2.8
2008,DAL,0.829,0.382,0.57,25.8,22.2,0.465,11.3,8.9
2008,DEN,0.805,0.351,0.558,33.5,27.3,0.477,14.0,10.5
2008,DET,0.829,0.368,0.548,24.4,24.3,0.46,13.4,11.6
2008,GSW,0.659,0.348,0.554,26.0,24.1,0.506,14.0,4.2
2008,HOU,0.756,0.348,0.53,21.9,22.6,0.46,12.5,8.0
2008,IND,0.512,0.384,0.542,25.9,22.7,0.49,13.1,1.3
2008,LAC,0.317,0.281,0.516,26.6,22.6,0.492,12.8,-5.5
2008,LAL,0.732,0.385,0.571,29.2,25.7,0.483,13.1,8.9
2008,MEM,0.341,0.371,0.558,25.6,19.1,0.53,11.5,-4.4
2008,MIA,0.22,0.341,0.53,22.8,19.6,0.508,13.3,-7.1
2008,MIL,0.463,0.369,0.538,26.6,23.5,0.522,13.3,-2.4
2008,MIN,0.366,0.344,0.525,21.5,20.5,0.511,12.4,-4.2
2008,NOH,0.732,0.379,0.555,22.0,23.5,0.494,13.3,7.9
2008,NYK,0.366,0.331,0.521,26.5,17.6,0.519,11.9,-3.9
2008,SEA,0.317,0.339,0.517,23.1,21.4,0.497,11.4,-5.2
2008,ORL,0.61,0.401,0.578,27.5,20.7,0.491,11.6,6.3
2008,PHI,0.537,0.298,0.525,26.5,21.4,0.487,15.5,4.1
2008,PHO,0.732,0.39,0.591,26.1,25.4,0.482,10.7,7.2
2008,POR,0.683,0.392,0.545,23.1,23.4,0.487,12.7,3.8
2008,SAC,0.634,0.363,0.56,29.9,17.8,0.5,14.0,2.4
2008,SAS,0.829,0.383,0.554,22.0,22.4,0.469,13.1,9.5
2008,TOR,0.61,0.397,0.56,20.3,24.2,0.496,12.8,7.3
2008,UTA,0.902,0.415,0.592,27.7,27.5,0.492,15.4,14.4
2008,WAS,0.61,0.362,0.547,23.9,20.6,0.513,13.9,3.5
2009,ATL,0.756,0.359,0.554,24.1,22.4,0.484,12.5,5.7
2009,BOS,0.854,0.413,0.582,25.2,24.8,0.48,13.5,10.2
2009,NJN,0.463,0.369,0.541,24.8,20.7,0.511,12.8,-0.9
2009,CHA,0.561,0.348,0.538,25.6,21.2,0.476,13.6,2.1
2009,CHI,0.683,0.384,0.547,27.2,21.6,0.489,13.2,4.1
2009,CLE,0.951,0.398,0.571,24.4,21.8,0.453,13.4,14.3
2009,DAL,0.78,0.371,0.572,24.7,24.1,0.488,12.2,6.5
2009,DEN,0.805,0.37,0.57,33.2,25.0,0.479,13.9,7.1
2009,DET,0.512,0.333,0.528,23.0,21.4,0.488,11.5,0.2
2009,GSW,0.512,0.38,0.57,31.4,22.4,0.501,12.8,1.4
2009,HOU,0.805,0.373,0.551,23.4,21.1,0.464,11.6,8.9
2009,IND,0.61,0.386,0.546,24.6,21.0,0.483,12.0,2.5
2009,LAC,0.268,0.346,0.518,22.4,21.7,0.498,11.8,-7.6
2009,LAL,0.878,0.365,0.557,25.7,25.2,0.471,13.3,10.1
2009,MEM,0.39,0.365,0.538,25.5,17.4,0.514,13.5,-3.3
2009,MIA,0.683,0.383,0.553,23.9,19.3,0.495,14.5,4.2
2009,MIL,0.537,0.371,0.542,26.5,24.2,0.493,15.0,2.9
2009,MIN,0.268,0.332,0.52,24.9,20.4,0.525,12.5,-5.8
2009,NOH,0.683,0.36,0.556,23.5,20.9,0.488,12.5,4.6
2009,NYK,0.488,0.368,0.551,25.1,20.3,0.515,12.4,-0.9
2009,OKC,0.366,0.351,0.523,24.4,20.0,0.501,12.8,-3.7
2009,ORL,0.78,0.372,0.559,28.3,19.4,0.453,12.3,9.8
2009,PHI,0.585,0.331,0.534,26.9,21.1,0.49,14.7,4.1
2009,PHO,0.683,0.404,0.598,28.2,22.8,0.505,12.0,6.4
2009,POR,0.829,0.372,0.565,25.9,22.1,0.495,13.4,10.4
2009,SAC,0.268,0.36,0.54,27.2,19.3,0.52,12.4,-6.0
2009,SAS,0.683,0.401,0.562,19.7,21.8,0.497,11.6,4.9
2009,TOR,0.439,0.392,0.557,22.8,23.0,0.511,12.3,0.5
2009,UTA,0.805,0.376,0.566,28.7,25.6,0.497,15.4,9.5
2009,WAS,0.317,0.338,0.529,24.4,21.4,0.531,13.3,-4.7
2010,ATL,0.829,0.365,0.551,24.0,24.9,0.492,13.2,8.5
2010,BOS,0.585,0.337,0.566,24.6,25.3,0.503,15.0,3.4
2010,NJN,0.195,0.296,0.503,25.9,19.4,0.504,12.3,-7.2
2010,CHA,0.756,0.362,0.547,27.1,21.3,0.475,14.4,6.5
2010,CHI,0.585,0.333,0.519,23.6,22.0,0.475,11.6,0.7
2010,CLE,0.854,0.377,0.578,26.0,24.5,0.481,11.4,8.9
2010,DAL,0.683,0.362,0.548,23.6,23.0,0.498,13.2,2.2
2010,DEN,0.829,0.359,0.57,32.3,24.0,0.491,14.1,9.0
2010,DET,0.415,0.29,0.512,25.6,20.3,0.516,13.9,-3.3
2010,GSW,0.439,0.391,0.565,26.8,24.4,0.522,15.5,0.8
2010,HOU,0.561,0.349,0.542,25.4,22.3,0.507,12.6,1.6
2010,IND,0.561,0.348,0.541,24.7,21.1,0.47,12.6,1.9
2010,LAC,0.512,0.331,0.54,24.5,23.6,0.502,12.6,-2.8
2010,LAL,0.829,0.352,0.543,24.7,23.4,0.476,13.3,8.5
2010,MEM,0.561,0.319,0.532,26.5,18.2,0.506,13.4,0.1
2010,MIA,0.585,0.343,0.534,23.3,18.4,0.487,13.8,3.5
2010,MIL,0.683,0.37,0.524,21.5,21.4,0.49,14.1,3.3
2010,MIN,0.244,0.333,0.522,23.3,20.7,0.511,12.3,-5.5
2010,NOH,0.585,0.372,0.545,21.1,23.7,0.514,13.3,0.9
2010,NYK,0.439,0.335,0.552,22.1,21.2,0.522,13.2,-0.7
2010,OKC,0.659,0.338,0.558,26.7,20.0,0.482,13.6,5.7
2010,ORL,0.829,0.375,0.585,27.1,19.8,0.474,12.3,11.6
2010,PHI,0.293,0.319,0.532,21.8,21.7,0.526,13.2,-4.8
2010,PHO,0.78,0.412,0.593,26.3,22.9,0.485,11.4,9.4
2010,POR,0.634,0.362,0.548,25.6,21.3,0.497,12.2,4.7
2010,SAC,0.439,0.351,0.535,25.1,20.1,0.496,12.2,-1.3
2010,SAS,0.707,0.392,0.573,24.7,24.3,0.494,12.0,8.4
2010,TOR,0.61,0.342,0.559,26.8,22.1,0.498,11.2,1.3
2010,UTA,0.78,0.385,0.586,28.3,26.8,0.489,13.9,9.5
2010,WAS,0.366,0.367,0.532,22.8,20.3,0.509,12.5,-2.7
2011,ATL,0.585,0.335,0.54,20.2,23.6,0.499,11.9,-0.9
2011,BOS,0.805,0.373,0.577,24.0,24.5,0.47,14.3,8.2
2011,NJN,0.463,0.373,0.524,23.4,21.2,0.491,11.6,-3.3
2011,CHA,0.512,0.359,0.536,25.1,22.7,0.492,12.0,-0.7
2011,CHI,0.878,0.392,0.548,24.8,23.2,0.454,13.5,10.2
2011,CLE,0.293,0.349,0.519,25.3,22.1,0.507,12.2,-5.7
2011,DAL,0.707,0.368,0.573,22.8,24.1,0.484,13.4,6.3
2011,DEN,0.805,0.388,0.585,31.4,24.0,0.482,11.7,10.6
2011,DET,0.512,0.395,0.551,23.2,22.6,0.527,13.5,-0.5
2011,GSW,0.634,0.407,0.557,20.7,24.9,0.509,14.8,2.7
2011,HOU,0.61,0.348,0.544,25.5,23.6,0.487,12.3,4.7
2011,IND,0.585,0.358,0.543,25.6,19.9,0.48,12.3,3.4
2011,LAC,0.561,0.332,0.543,28.1,24.1,0.484,12.5,1.1
2011,LAL,0.732,0.348,0.549,24.4,23.0,0.47,13.1,8.6
2011,MEM,0.732,0.336,0.555,24.0,20.7,0.504,15.4,7.2
2011,MIA,0.732,0.358,0.573,29.8,19.0,0.473,11.8,9.1
2011,MIL,0.537,0.337,0.518,23.7,18.9,0.471,14.0,2.0
2011,MIN,0.293,0.392,0.528,24.2,20.9,0.5,12.6,-3.3
2011,NOH,0.683,0.351,0.543,22.9,21.9,0.497,14.0,3.5
